Pixel,group01_MeanSmoothedNormalizedIntensity,group02_MeanSmoothedNormalizedIntensity,group03_MeanSmoothedNormalizedIntensity,group04_MeanSmoothedNormalizedIntensity,group05_MeanSmoothedNormalizedIntensity,group06_MeanSmoothedNormalizedIntensity,group07_MeanSmoothedNormalizedIntensity,group08_MeanSmoothedNormalizedIntensity,group09_MeanSmoothedNormalizedIntensity,group10_MeanSmoothedNormalizedIntensity,group11_MeanSmoothedNormalizedIntensity,group12_MeanSmoothedNormalizedIntensity
1724,0.720821944919465,0.6735077449367595,0.8773103524810386,0.6489440472515178,0.6740307396887,0.6361868564457429,0.6477132444549294,0.776346537465825,0.7558129323436686,0.7616889162142743,0.7061458076711021,0.9919292358315331
1725,0.7213372682768242,0.6741541715873968,0.878396864414398,0.6491949714571305,0.6747129152418009,0.6365656501562557,0.648162961946076,0.7767529451158696,0.7565059513689542,0.7624826562374297,0.7069705070730392,0.991944223624588
1726,0.7218461401770717,0.6748039732789456,0.8794855879115306,0.6494237484364216,0.6754002432080124,0.6369350429990428,0.6485990711836259,0.7771308689175648,0.7571973207084792,0.7632806168328241,0.7077927272249093,0.991960045460621
1727,0.722353129961769,0.6754545808560042,0.8805777672345316,0.6496619895625283,0.6760870909826346,0.6373134163209336,0.6490264280384774,0.7775185090412032,0.7578954121320314,0.7640895066444153,0.7086427343312395,0.9919750934319433
1728,0.7228554988033158,0.676125677287273,0.8816667792685638,0.6499244336784101,0.6767814780262137,0.6376957663723937,0.6494701675343706,0.7779200640249182,0.7585954044284231,0.7649070560886612,0.7094814560168631,0.9919901677744546
1729,0.7233608171810532,0.676789798920735,0.8827682231009012,0.6501867388191781,0.6774756133870881,0.6380843279770007,0.6499221195965619,0.7783001476036198,0.759308974951798,0.7657089929866675,0.7103247353536157,0.9920052482503545
1730,0.7238569962726392,0.6774616865700199,0.883859712306484,0.6504533369565062,0.6781634324824557,0.6384868143134002,0.6503845579612408,0.7786639131035068,0.7600146159482243,0.7665292627767784,0.7111688322242276,0.9920180030142891
1731,0.7243534444445388,0.6781296109702216,0.8850005423390701,0.650724348867971,0.6788504328822302,0.6389013010536424,0.650850741219851,0.7790554383406787,0.7607216433197747,0.7673752460243656,0.7120243943210377,0.9920308796257101
1732,0.7248781174738874,0.6788101901351589,0.8861433703614313,0.6510067338452264,0.6795452330826081,0.6393312211372472,0.6513408215790809,0.7794491504192861,0.7614344655390345,0.7682301057792789,0.7128959423238115,0.992046935250489
1733,0.7253892256308653,0.6794949074889316,0.8872884035350094,0.6512969961243857,0.6802680685713323,0.6397637454795265,0.6518296382556591,0.7798635040434432,0.7621475084964073,0.7690972325213365,0.7137757738576122,0.9920597804796263
