Pixel,MeanSmoothedNormalizedIntensity,StdSmoothedNormalizedIntensity,CVSmoothedNormalizedIntensity
68,0.8146805656906413,0.002203267042396434,0.002704455138841597
69,0.8146348046507434,0.0022268748590833945,0.002733586689851924
70,0.8145843425664987,0.0022389262025041636,0.002748550500553463
71,0.8145342436450204,0.002249342379733193,0.0027615074470871133
72,0.8144822062877888,0.002260313066444203,0.002775153402977529
73,0.8144390477734957,0.0022707962799070423,0.0027881721610904086
74,0.8144007133772793,0.002280373605823818,0.0028000633697473345
75,0.8143704816076325,0.0022819997289331784,0.002802164101562631
76,0.8143349074699829,0.002287924281169813,0.002809561840199203
77,0.8142908428153541,0.002289677545405814,0.002811866995199667
78,0.814254231257707,0.0022932008853369336,0.0028163205020068824
79,0.8142293563449027,0.0022849552922258754,0.0028062796734363653
80,0.8142037149818796,0.002274941422901863,0.0027940690776048507
81,0.8141820752612293,0.0022600751919412687,0.0027758842409004478
82,0.8141604545501266,0.002271411681354306,0.002789882103288104
83,0.8141287171241623,0.0022506089480249895,0.002764438719193037
84,0.8140932316949028,0.0022334482154565526,0.0027434796513497862
85,0.8140496173835181,0.002222454686011165,0.0027301218974274313
86,0.814017329867635,0.002193663170729392,0.0026948605272151854
87,0.8139851109904003,0.0021635071216955484,0.00265791977332748
88,0.8139518569847468,0.0021317784213076953,0.002619047309757098
89,0.8139200518419327,0.0021011254619055356,0.0025814887557452444
90,0.8138885300587854,0.0020692579724050737,0.0025424341245546436
91,0.8138562054081462,0.002033991751732056,0.002499202854528849
92,0.8138314311409296,0.001994375584157938,0.002450600342827722
93,0.8138055805966709,0.0019547149311977836,0.0024019433852550064
94,0.813792720539017,0.0019420190798514216,0.0023863805006330385
95,0.813780506381441,0.001929053841900302,0.002370484211372965
96,0.8137677707530813,0.001915977164072706,0.002354452010675739
97,0.8137546020618671,0.0019031859764625544,0.0023387713834616955
98,0.813732189399642,0.0019139840994311405,0.002352105673542601
99,0.8137270026809281,0.001954409457930977,0.002401799929819121
100,0.813726503205927,0.001992298897726678,0.0024483642721201794
101,0.8137252215281927,0.002031448826115953,0.002496480104550342
102,0.8137244353291713,0.002071313344721562,0.0025454727113899014
103,0.8137198673192995,0.0020993913193297557,0.0025799927022132855
104,0.8137145823270717,0.0021320799866000684,0.002620181612701001
105,0.81370765110001,0.0021456520020517464,0.002636883159634973
106,0.8136927978676736,0.00216876547400536,0.0026653369425030287
107,0.8136921598845561,0.0022286905698255077,0.0027389849376718914
108,0.8136819486067397,0.0022685518363403496,0.002788008066572904
109,0.8136791116878431,0.0023168766147341332,0.002847408249092391
110,0.813677465769581,0.0023333120554186134,0.0028676129714514742
111,0.813674484141127,0.0023652565573649576,0.0029068830391819414
112,0.8136673783813002,0.0023978673947565956,0.002946987256054044
113,0.8136678205736892,0.0024257633576063556,0.0029812698699280414
114,0.81365282400343,0.0024594884599566168,0.0030227738261328135
115,0.8136387548843274,0.0024905451567931876,0.003060996224482032
116,0.8136188790784997,0.002508992982027845,0.0030837447932249517
117,0.8135713804279266,0.002507793713045715,0.0030824507515574747
118,0.8135201432177797,0.0025101746092922738,0.0030855715500338866
119,0.813465313422331,0.002502594568354892,0.0030764613156352336
120,0.8134067931626887,0.002496342124341526,0.0030689959136378088
121,0.8133520930140185,0.0024895610008272774,0.003060865057347764
122,0.8133118727798347,0.0024712371440450843,0.0030384864979267965
123,0.8132736114845812,0.002451679552272653,0.003014581461455834
124,0.8132411407439755,0.00242707882662839,0.0029844516036264855
125,0.8131970466719214,0.00241888842220334,0.0029745415727994197
126,0.8131546327923619,0.0024038788725404777,0.00295623830400571
127,0.81311678462003,0.0023843080417542194,0.002932307002945964
128,0.8130675553761112,0.002373109998793193,0.0029187119607735827
129,0.8130162544589853,0.0023893093558376897,0.0029388211400861045
130,0.8129424110075878,0.0024148116195514737,0.002970458407451613
131,0.8128741191469327,0.0024345147916078913,0.00299494686109921
132,0.8127957708541077,0.0024609301594883007,0.003027734946138178
133,0.8127058936065067,0.0024912814134935794,0.003065415709535632
134,0.8125993209833553,0.002532630632026386,0.0031167028652713613
135,0.8125018839447196,0.002566727748443559,0.0031590422116709728
136,0.8124008526454318,0.0026053117094111703,0.0032069288220555885
137,0.8122827004292514,0.0026497966958880267,0.0032621606916997488
138,0.8121727861121528,0.0026859974938200516,0.003307174950638081
139,0.8120763827097456,0.0027122267632164036,0.003339866570391094
140,0.8119586925091855,0.0027353517336723876,0.003368831147332588
141,0.8118318395800529,0.002734806472737004,0.0033686859019371224
142,0.8117220849867961,0.002770104433776272,0.003412626667440411
143,0.8116513682112634,0.0027824130644149587,0.003428088922645331
144,0.8115675075692487,0.00279919881296664,0.0034491262733652413
145,0.8114842638064177,0.002818822221324091,0.003473662210160283
146,0.8113991254066336,0.0028396490348666305,0.003499694473350014
147,0.8113086609325167,0.00286242520946696,0.003528158082494637
148,0.8112037127223134,0.002853903819658844,0.0035181099086460613
149,0.8111180619037419,0.0028724919281931573,0.0035413980567159968
150,0.811027143684108,0.002894798038523251,0.0035692985876817507
151,0.8109486396265515,0.002868585049318408,0.0035373202557432183
152,0.810862308535514,0.002841619439950686,0.0035044413953373805
153,0.810776690837131,0.0028155034374485327,0.0034726003710608792
154,0.8107144336405362,0.002778926950170971,0.003427750678734213
155,0.8106579431734915,0.0027381727199848444,0.003377716511683941
156,0.8106070261644709,0.0026971966365672345,0.003327378803178518
157,0.8105617439413845,0.002652730860723288,0.0032727067130312523
158,0.8105233725980309,0.0026066443258212623,0.00321600143061389
159,0.8104957648124526,0.002569041384449981,0.0031697159886386987
160,0.8104555118394394,0.0025269770339042463,0.0031179713099475713
