Pixel,NormalizedADC,SmoothedNormalizedADC
298,0.872260273972603,0.878660207702098
299,0.872260273972603,0.87874974417481
300,0.875,0.878831725720749
301,0.876369863013699,0.878949608619527
302,0.876369863013699,0.879057477985189
303,0.869520547945206,0.879132658236953
304,0.869520547945206,0.879236730938399
305,0.875,0.879314757413271
306,0.875,0.879388856418267
307,0.872260273972603,0.879459257463317
308,0.874657534246575,0.879529268491497
309,0.874657534246575,0.879591820597057
310,0.869520547945206,0.879653523665893
311,0.870890410958904,0.879721440603498
312,0.870890410958904,0.879788955523714
313,0.872260273972603,0.879852760483463
314,0.875,0.879889923390867
315,0.876369863013699,0.879905084246618
316,0.869520547945206,0.879922483199173
317,0.876369863013699,0.879942072246456
318,0.875,0.879967790858861
319,0.876369863013699,0.879996739110956
320,0.88013698630137,0.880031953434078
321,0.875,0.880069630863736
322,0.875,0.880139500885817
323,0.877739726027397,0.880209738423795
324,0.875,0.880293560249331
325,0.876369863013699,0.880376825550797
326,0.876369863013699,0.880459531328062
327,0.875,0.880534605675245
328,0.875,0.880608655478114
329,0.88013698630137,0.880681671736279
330,0.879452054794521,0.880753645449351
331,0.88013698630137,0.88082456761694
332,0.880479452054794,0.880894429238658
333,0.879452054794521,0.880963221314114
334,0.879452054794521,0.881004471298296
335,0.879452054794521,0.881072885357402
336,0.880479452054794,0.881108368792164
337,0.880479452054794,0.881140657088726
338,0.875,0.881212127680037
339,0.875,0.881283085249157
340,0.877739726027397,0.881353529796088
341,0.879452054794521,0.881419926867954
342,0.877739726027397,0.881485581407703
343,0.874657534246575,0.881550490415206
344,0.876369863013699,0.881614650890333
345,0.873972602739726,0.881678059832953
346,0.876369863013699,0.881733645337188
347,0.875,0.881788014288803
348,0.885616438356164,0.881841157687409
349,0.879452054794521,0.881861256456739
350,0.876369863013699,0.881881354026017
351,0.880479452054794,0.881897882940941
352,0.880479452054794,0.881896672388581
353,0.880479452054794,0.881890909139303
354,0.880479452054794,0.881880548191163
355,0.881849315068493,0.881865544542212
356,0.880479452054794,0.881852469076659
357,0.880479452054794,0.881827598000913
358,0.880479452054794,0.881797955218777
359,0.880479452054794,0.881763495728304
360,0.875,0.881724174527548
361,0.885616438356164,0.881676638671484
362,0.875,0.881624374610912
363,0.875,0.881623206060369
364,0.880479452054794,0.881619526401213
365,0.875,0.881620404539195
366,0.88013698630137,0.881619230588419
367,0.875,0.881616010549142
368,0.875,0.881610750421627
369,0.873972602739726,0.881596840319974
370,0.873972602739726,0.881581349149937
371,0.874657534246575,0.881560968968434
372,0.875,0.881539231228214
373,0.870890410958904,0.881516132929146
374,0.875,0.881491671071099
375,0.870890410958904,0.881465842653945
376,0.869520547945206,0.881413903507427
377,0.870890410958904,0.881383726402179
378,0.874657534246575,0.881355687189402
379,0.875,0.881326477926016
380,0.870890410958904,0.881296098612023
381,0.875,0.881261014794546
382,0.876369863013699,0.881224531416534
383,0.870890410958904,0.88116190430773
384,0.873972602739726,0.881096265068643
385,0.874657534246575,0.881027589698233
386,0.870890410958904,0.880955854195465
387,0.874657534246575,0.880884342502377
388,0.879452054794521,0.880809499165186
389,0.877739726027397,0.880731303182983
390,0.880479452054794,0.88064973355486
391,0.875,0.880593044902911
392,0.88013698630137,0.880534776682642
393,0.879452054794521,0.880471623951103
394,0.88013698630137,0.880393889388858
395,0.880479452054794,0.88032983661839
396,0.876369863013699,0.880252096055885
397,0.880479452054794,0.880158253796935
398,0.876369863013699,0.880060245257781
399,0.870890410958904,0.879948566627357
400,0.875,0.879826704356461
401,0.873972602739726,0.879707830214809
402,0.873972602739726,0.879606022011309
403,0.874657534246575,0.879507999971572
404,0.875,0.87941371609352
405,0.879452054794521,0.87936816422327
406,0.879452054794521,0.879327426061226
407,0.879452054794521,0.879291492607
408,0.879452054794521,0.87930005017714
409,0.875,0.879331013016373
410,0.875,0.879356603523236
411,0.870890410958904,0.879383476585574
412,0.875,0.879411671205073
413,0.877739726027397,0.87944122638342
414,0.875,0.879472181122303
415,0.875,0.87948690215903
416,0.873972602739726,0.879488721437719
417,0.875,0.879477650958889
418,0.875,0.879466922494851
419,0.879452054794521,0.879443304273295
420,0.875,0.879420922105201
421,0.875,0.879373300445427
422,0.879452054794521,0.879328678915416
423,0.874657534246575,0.879287021513612
424,0.88013698630137,0.879248292238459
425,0.876369863013699,0.879231033391964
426,0.874657534246575,0.879230193655643
427,0.870890410958904,0.879235837199742
428,0.872260273972603,0.879247952023744
429,0.868493150684931,0.879266526127127
430,0.874657534246575,0.879291547509375
431,0.872260273972603,0.879336235942279
432,0.874657534246575,0.879386453614339
433,0.879452054794521,0.879442200525555
434,0.875,0.879513400505161
435,0.873972602739726,0.87960599891031
436,0.875,0.879702347477665
437,0.870890410958904,0.879828933752888
438,0.875,0.879953995662179
439,0.870890410958904,0.880014637585117
440,0.875,0.880074604478859
441,0.873972602739726,0.880120652570573
442,0.873972602739726,0.880166895670721
443,0.875,0.880190154176719
444,0.870890410958904,0.880215124256748
445,0.874657534246575,0.880238452965782
446,0.872260273972603,0.880263626754621
447,0.875,0.880287063168314
448,0.877739726027397,0.880304950241982
449,0.875,0.880310615087003
450,0.875,0.880318126511894
451,0.875,0.880334484419421
452,0.875,0.880314130939074
453,0.880479452054794,0.8802569700667
454,0.875,0.880247246646134
455,0.875,0.880202535412243
456,0.875,0.880190910809446
457,0.877739726027397,0.880189574251636
458,0.874657534246575,0.880191819848764
459,0.875,0.880197557596939
460,0.875,0.880206697492266
461,0.874657534246575,0.880219149530853
462,0.879452054794521,0.880234823708806
463,0.870890410958904,0.880283401509937
464,0.872260273972603,0.880336544308517
465,0.876369863013699,0.880419159781875
466,0.874657534246575,0.880522420648207
467,0.874657534246575,0.880642997963526
468,0.876369863013699,0.880766744915941
469,0.875,0.880900721410813
470,0.873972602739726,0.881038308561856
471,0.876369863013699,0.88117243446319
472,0.879452054794521,0.881309706000583
473,0.887671232876712,0.881418304097765
474,0.88013698630137,0.881527964240884
475,0.881849315068493,0.881611280844569
476,0.881849315068493,0.881695563490038
477,0.885616438356164,0.881780752174695
478,0.884931506849315,0.881866786895946
479,0.880479452054794,0.881953607651196
480,0.881849315068493,0.882054386210161
481,0.880479452054794,0.882154936759264
482,0.880479452054794,0.882255211296428
483,0.875,0.882355161819578
484,0.874657534246575,0.882454740326638
485,0.875,0.882582174438533
