Pixel,SmoothedIntensityADC,ReferenceIntensityADC,ReferenceCorrectedRatio,ReferenceCorrectedRatioNormalizedMax
115,2288.442573046833,2288.442573046833,1.0,1.0
116,2288.3743146754364,2288.3743146754364,1.0,1.0
117,2288.310339718815,2288.310339718815,1.0,1.0
118,2288.250709181859,2288.250709181859,1.0,1.0
119,2288.195484069458,2288.195484069458,1.0,1.0
120,2288.144725386501,2288.144725386501,1.0,1.0
121,2288.0600575711996,2288.0600575711996,1.0,1.0
122,2287.982575260439,2287.982575260439,1.0,1.0
123,2287.950741165852,2287.950741165852,1.0,1.0
124,2287.8947203753855,2287.8947203753855,1.0,1.0
125,2287.79401350301,2287.79401350301,1.0,1.0
126,2287.6966575420915,2287.6966575420915,1.0,1.0
127,2287.6314712026556,2287.6314712026556,1.0,1.0
128,2287.53884312071,2287.53884312071,1.0,1.0
129,2287.4783933752315,2287.4783933752315,1.0,1.0
130,2287.428947168907,2287.428947168907,1.0,1.0
131,2287.421989996955,2287.421989996955,1.0,1.0
132,2287.419804278896,2287.419804278896,1.0,1.0
133,2287.422451019623,2287.422451019623,1.0,1.0
134,2287.4107729406837,2287.4107729406837,1.0,1.0
135,2287.405347862968,2287.405347862968,1.0,1.0
136,2287.406219361397,2287.406219361397,1.0,1.0
137,2287.4134310108907,2287.4134310108907,1.0,1.0
138,2287.4270263863714,2287.4270263863714,1.0,1.0
139,2287.4470490627605,2287.4470490627605,1.0,1.0
140,2287.4927608983194,2287.4927608983194,1.0,1.0
141,2287.4923530370547,2287.4923530370547,1.0,1.0
142,2287.4733543713187,2287.4733543713187,1.0,1.0
143,2287.4645923261205,2287.4645923261205,1.0,1.0
144,2287.455808493463,2287.455808493463,1.0,1.0
145,2287.4470115883278,2287.4470115883278,1.0,1.0
146,2287.438210325701,2287.438210325701,1.0,1.0
147,2287.4294134205666,2287.4294134205666,1.0,1.0
148,2287.4110204462386,2287.4110204462386,1.0,1.0
149,2287.3932985256993,2287.3932985256993,1.0,1.0
150,2287.3762476589504,2287.3762476589504,1.0,1.0
151,2287.359867845991,2287.359867845991,1.0,1.0
152,2287.344159086822,2287.344159086822,1.0,1.0
153,2287.3291213814423,2287.3291213814423,1.0,1.0
154,2287.314754729853,2287.314754729853,1.0,1.0
155,2287.301059132053,2287.301059132053,1.0,1.0
156,2287.2880345880426,2287.2880345880426,1.0,1.0
157,2287.265413974839,2287.265413974839,1.0,1.0
158,2287.2427977191273,2287.2427977191273,1.0,1.0
159,2287.2201771059235,2287.2201771059235,1.0,1.0
160,2287.197543420243,2287.197543420243,1.0,1.0
161,2287.174887947103,2287.174887947103,1.0,1.0
162,2287.1522019715167,2287.1522019715167,1.0,1.0
163,2287.1294767785016,2287.1294767785016,1.0,1.0
164,2287.106703653073,2287.106703653073,1.0,1.0
165,2287.064655596907,2287.064655596907,1.0,1.0
166,2287.0238407110164,2287.0238407110164,1.0,1.0
167,2286.895118650167,2286.895118650167,1.0,1.0
168,2286.7681570161426,2286.7681570161426,1.0,1.0
169,2286.6839197210643,2286.6839197210643,1.0,1.0
170,2286.6039004783793,2286.6039004783793,1.0,1.0
171,2286.5280295682123,2286.5280295682123,1.0,1.0
172,2286.466504393673,2286.466504393673,1.0,1.0
173,2286.4507233001336,2286.4507233001336,1.0,1.0
174,2286.4730249449126,2286.4730249449126,1.0,1.0
175,2286.5045819029997,2286.5045819029997,1.0,1.0
176,2286.545394174395,2286.545394174395,1.0,1.0
177,2286.5954617590983,2286.5954617590983,1.0,1.0
178,2286.654784657109,2286.654784657109,1.0,1.0
179,2286.7137537267586,2286.7137537267586,1.0,1.0
180,2286.722998582086,2286.722998582086,1.0,1.0
181,2286.7420870121596,2286.7420870121596,1.0,1.0
182,2286.7504237661246,2286.7504237661246,1.0,1.0
183,2286.7671486924614,2286.7671486924614,1.0,1.0
184,2286.7921833563114,2286.7921833563114,1.0,1.0
185,2286.825449322816,2286.825449322816,1.0,1.0
186,2286.895695582127,2286.895695582127,1.0,1.0
187,2286.9720684753884,2286.9720684753884,1.0,1.0
188,2287.064124854364,2287.064124854364,1.0,1.0
189,2287.16155402115,2287.16155402115,1.0,1.0
190,2287.2643124008255,2287.2643124008255,1.0,1.0
191,2287.372356418469,2287.372356418469,1.0,1.0
192,2287.485642499157,2287.485642499157,1.0,1.0
193,2287.5835928220035,2287.5835928220035,1.0,1.0
194,2287.6757555237887,2287.6757555237887,1.0,1.0
195,2287.74350058261,2287.74350058261,1.0,1.0
196,2287.8175335025917,2287.8175335025917,1.0,1.0
197,2287.8881492772366,2287.8881492772366,1.0,1.0
198,2287.9655104497156,2287.9655104497156,1.0,1.0
199,2288.020685015208,2288.020685015208,1.0,1.0
200,2288.0843436179,2288.0843436179,1.0,1.0
201,2288.156355533026,2288.156355533026,1.0,1.0
202,2288.2365900358236,2288.2365900358236,1.0,1.0
203,2288.324916401527,2288.324916401527,1.0,1.0
204,2288.4212039053723,2288.4212039053723,1.0,1.0
205,2288.5157126809254,2288.5157126809254,1.0,1.0
206,2288.6185704114223,2288.6185704114223,1.0,1.0
207,2288.729637657112,2288.729637657112,1.0,1.0
208,2288.8583841199174,2288.8583841199174,1.0,1.0
209,2288.9944119520915,2288.9944119520915,1.0,1.0
210,2289.137590428869,2289.137590428869,1.0,1.0
211,2289.2877888254866,2289.2877888254866,1.0,1.0
212,2289.4250001525256,2289.4250001525256,1.0,1.0
213,2289.538151150958,2289.538151150958,1.0,1.0
214,2289.6558949461073,2289.6558949461073,1.0,1.0
215,2289.7780572382876,2289.7780572382876,1.0,1.0
216,2289.9044637278134,2289.9044637278134,1.0,1.0
217,2289.9676761233095,2289.9676761233095,1.0,1.0
218,2290.0290618581002,2290.0290618581002,1.0,1.0
219,2290.0979860542952,2290.0979860542952,1.0,1.0
220,2290.1742046923355,2290.1742046923355,1.0,1.0
221,2290.2574737526597,2290.2574737526597,1.0,1.0
222,2290.3578163386915,2290.3578163386915,1.0,1.0
223,2290.455120881203,2290.455120881203,1.0,1.0
224,2290.5587525023034,2290.5587525023034,1.0,1.0
225,2290.668467182433,2290.668467182433,1.0,1.0
226,2290.784020902032,2290.784020902032,1.0,1.0
227,2290.90516964154,2290.90516964154,1.0,1.0
228,2291.072737873331,2291.072737873331,1.0,1.0
229,2291.2480798711013,2291.2480798711013,1.0,1.0
230,2291.4309864752295,2291.4309864752295,1.0,1.0
231,2291.6212485260917,2291.6212485260917,1.0,1.0
232,2291.818656864066,2291.818656864066,1.0,1.0
233,2292.023002329529,2292.023002329529,1.0,1.0
234,2292.203274393908,2292.203274393908,1.0,1.0
235,2292.3880651776376,2292.3880651776376,1.0,1.0
236,2292.557263111489,2292.557263111489,1.0,1.0
237,2292.7304917255715,2292.7304917255715,1.0,1.0
238,2292.90749828534,2292.90749828534,1.0,1.0
239,2293.088030056251,2293.088030056251,1.0,1.0
240,2293.2718343037595,2293.2718343037595,1.0,1.0
241,2293.4586582933225,2293.4586582933225,1.0,1.0
242,2293.6893177823285,2293.6893177823285,1.0,1.0
243,2293.9251583294895,2293.9251583294895,1.0,1.0
244,2294.1659620602004,2294.1659620602004,1.0,1.0
245,2294.392292816513,2294.392292816513,1.0,1.0
246,2294.624449539818,2294.624449539818,1.0,1.0
247,2294.862196925541,2294.862196925541,1.0,1.0
248,2295.105299669105,2295.105299669105,1.0,1.0
249,2295.3227210969853,2295.3227210969853,1.0,1.0
250,2295.5327600616797,2295.5327600616797,1.0,1.0
251,2295.744755540347,2295.744755540347,1.0,1.0
252,2295.958437368472,2295.958437368472,1.0,1.0
253,2296.173535381542,2296.173535381542,1.0,1.0
254,2296.389779415046,2296.389779415046,1.0,1.0
255,2296.6171664274534,2296.6171664274534,1.0,1.0
256,2296.876627196516,2296.876627196516,1.0,1.0
257,2297.139098992648,2297.139098992648,1.0,1.0
258,2297.414613634258,2297.414613634258,1.0,1.0
259,2297.693335390083,2297.693335390083,1.0,1.0
260,2297.975037670533,2297.975037670533,1.0,1.0
261,2298.259493886016,2298.259493886016,1.0,1.0
262,2298.546477446941,2298.546477446941,1.0,1.0
263,2298.7781069136972,2298.7781069136972,1.0,1.0
264,2299.015706144687,2299.015706144687,1.0,1.0
265,2299.2589962604134,2299.2589962604134,1.0,1.0
266,2299.5076983813797,2299.5076983813797,1.0,1.0
267,2299.742315344748,2299.742315344748,1.0,1.0
268,2299.98308508702,2299.98308508702,1.0,1.0
269,2300.229711298729,2300.229711298729,1.0,1.0
270,2300.481897670411,2300.481897670411,1.0,1.0
271,2300.7393478925997,2300.7393478925997,1.0,1.0
272,2301.062052431102,2301.062052431102,1.0,1.0
273,2301.390796453712,2301.390796453712,1.0,1.0
274,2301.684267448937,2301.684267448937,1.0,1.0
