Pixel,SmoothedIntensityADC,ReferenceIntensityADC,ReferenceCorrectedRatio,ReferenceCorrectedRatioNormalizedMax
1941,2501.96109456718,2408.7309571057326,1.038705085425344,0.6688276813485255
1942,2502.003163539309,2407.765280199831,1.0391391487012624,0.6691071769806012
1943,2502.045541893379,2406.7767133877114,1.0395835758156267,0.669393345942898
1944,2502.088203484439,2405.766433192251,1.0400378727391157,0.6696858701273315
1945,2502.1311221675355,2404.745225278,1.0404973865280374,0.6699817534789243
1946,2502.174271797715,2403.704007759836,1.040966052275983,0.6702835298251887
1947,2502.2176262300254,2402.711229867311,1.0414142137123192,0.6705721033370936
1948,2502.2611593195134,2401.6962679822955,1.0418724435216382,0.6708671599274502
1949,2502.3048449212265,2400.66036834754,1.0423402151815635,0.6711683605657239
1950,2502.3486568902117,2399.5739758368486,1.0428303865970712,0.6714839845247258
1951,2502.3823019585325,2398.467137973031,1.0433256567664801,0.6718028915982492
1952,2502.4256215309056,2397.3000063619525,1.0438516726692408,0.6721415960115927
1953,2502.4689803207084,2396.1122028081563,1.0443872275212762,0.6724864426046707
1954,2502.512352182987,2394.9145216911747,1.044927628738846,0.6728344097980702
1955,2502.5557109727893,2393.6978898408697,1.0454768421670608,0.6731880512203685
1956,2502.5990305451623,2392.4635012100894,1.0460343613515388,0.673547040762919
1957,2502.6422847551535,2391.2125497516804,1.0465996780650237,0.6739110511755116
1958,2502.6854474578095,2389.946229418489,1.047172282226095,0.67427975401403
1959,2502.7284925081776,2388.6657341633622,1.0477516618225222,0.6746528195910994
1960,2502.7713937613053,2387.372257939147,1.0483373028393044,0.6750299169297502
1961,2502.814125072239,2386.0669946986895,1.0489286891914333,0.6754107137201246
1962,2502.8566602960273,2384.7703566781756,1.0495168447926944,0.6757894302129802
1963,2502.8989732877158,2383.4630210144555,1.0501102602474721,0.6761715335532492
1964,2502.941037902352,2382.146199090344,1.0507084069223522,0.6765566833510887
1965,2502.982827994984,2380.821102288656,1.0513107539196855,0.676944537758703
1966,2503.024317420658,2379.4889419922074,1.0519167680287775,0.6773347534389147
1967,2503.065480034421,2378.1509295838127,1.052525913682219,0.6777269855370447
1968,2503.106289691321,2376.8563221546374,1.053116364821849,0.6781071801391598
1969,2503.1467202464046,2375.5550390475014,1.053710261013385,0.6784895930283624
1970,2503.1867455547185,2374.2483352201416,1.0543070446430878,0.6788738651542251
1971,2503.226339471311,2372.937465630295,1.0549061556522767,0.6792596358920108
1972,2503.2654758512285,2371.6236852356974,1.0555070315054844,0.6796465430221657
1973,2503.3041285495183,2370.308248994087,1.0561091071643833,0.6800342227135314
1974,2503.3422714212275,2368.934099031866,1.0567378267062353,0.6804390585416175
1975,2503.3798783214033,2367.5633827734528,1.0573655161826545,0.6808432311051401
1976,2503.4169231050932,2366.1973028866782,1.0579916222755439,0.681246384119659
1977,2503.4533796273436,2364.837062039373,1.0586155891300315,0.6816481596672914
1978,2503.4892217432025,2363.4646446160277,1.059245471450631,0.682053744214744
