Wavelength_nm,Group01_AreaNormShape,Group02_AreaNormShape,Group03_AreaNormShape,Group04_AreaNormShape,Group05_AreaNormShape,Group06_AreaNormShape,Group07_AreaNormShape,Group08_AreaNormShape,Group09_AreaNormShape,Group10_AreaNormShape,Group11_AreaNormShape
470.475566862997,0.95229285231506,1,0.870418585590783,0.990859256466008,1.00545446926258,1.01459761287034,1.01393354593208,0.874627553211399,0.921793164568768,0.93874795773606,0.996751749968749
470.519728269414,0.952285285540123,1,0.870673506331574,0.99082870710391,1.00542024764923,1.01457166810988,1.0139775406584,0.874940681748351,0.921977432970236,0.938881519151977,0.996765563932437
470.56388967583,0.952277913674688,1,0.870928493347769,0.990798057455514,1.00538568202628,1.01454549270981,1.01402146014627,0.875253924811969,0.922161887535534,0.939015091862055,0.996779095451052
470.608051082247,0.952270750243886,1,0.87118354128924,0.990767256134021,1.00535076133075,1.01451906523641,1.01406525192687,0.875567269617629,0.922346499851356,0.939148692950416,0.996792297847725
470.652212488664,0.952263789271494,1,0.871438622588387,0.990736235424028,1.00531546068142,1.01449236536736,1.01410884015389,0.875880675597165,0.922531212574579,0.939282299892294,0.9968050762995
470.696373895078,0.952256971037643,1,0.871693680250054,0.990704912242686,1.0052797573542,1.01446536693196,1.01415215407791,0.87619408610728,0.922715944434326,0.939415868594453,0.996817333424961
470.740535301494,0.952250211520422,1,0.871948657573944,0.990673220189441,1.00524364677102,1.0144380526038,1.01419515231131,0.87650745212208,0.92290062820859,0.939549366363493,0.996829012923669
470.784696707911,0.952243393850522,1,0.872203510735141,0.99064112844538,1.00520714308583,1.01441042639571,1.01423782682411,0.876820735017261,0.923085225860281,0.939682771845404,0.996840098595376
470.828858114327,0.952236524425024,1,0.872458212459429,0.990608643883158,1.0051702784094,1.01438251440458,1.01428020269232,0.87713390909035,0.923269731743098,0.939816077605186,0.996850614378266
470.873019520744,0.952229658813448,1,0.872712755826331,0.990575813379577,1.00513310211175,1.01435436557273,1.01432233794288,0.877446964093999,0.923454175976208,0.939949292809139,0.996860624301289
470.917180927158,0.952222889226558,1,0.872967160766714,0.990542719361405,1.00509567341423,1.01432604071028,1.01436430738335,0.877759901292903,0.923638622208275,0.940082446371398,0.996870198547511
470.961342333575,0.952216291182485,1,0.873221447057673,0.990509434879568,1.0050580370106,1.01429760309113,1.01440617835451,0.878072719672328,0.923823140994159,0.940215566415149,0.996879408330986
471.005503739991,0.952209914032364,1,0.873475624132604,0.990476004761182,1.00502022289835,1.01426911090291,1.01444799749374,0.878385416930431,0.924007783414494,0.94034867023594,0.99688832968051
471.049665146408,0.952203799993457,1,0.873729702129185,0.990442455299003,1.00498225386014,1.01424061579727,1.01448978986601,0.878697997939072,0.924192580824225,0.940481770840273,0.99689704114659
471.093826552824,0.952197982451155,1,0.873983691723091,0.990408794509617,1.00494414723934,1.01421216094337,1.014531558526,0.879010473605101,0.924377542848715,0.940614876608606,0.996905620399598
471.137987959238,0.952192484167003,1,0.874237603838543,0.990375012252732,1.00490591666624,1.01418377895754,1.01457328396606,0.879322859689879,0.924562655231877,0.940747990893469,0.996914140670665
471.182149365655,0.952187311529703,1,0.874491439884504,0.990341083623232,1.00486757703537,1.01415548343842,1.01461492906796,0.879635165705519,0.924747878509186,0.940881109193072,0.996922650090555
