Pixel,1-1_SmoothedNormalizedIntensity,1-2_SmoothedNormalizedIntensity,1-3_SmoothedNormalizedIntensity,1-4_SmoothedNormalizedIntensity,1-5_SmoothedNormalizedIntensity,2-1_SmoothedNormalizedIntensity,2-2_SmoothedNormalizedIntensity,2-3_SmoothedNormalizedIntensity,2-4_SmoothedNormalizedIntensity,2-5_SmoothedNormalizedIntensity,3-1_SmoothedNormalizedIntensity,3-2_SmoothedNormalizedIntensity,3-3_SmoothedNormalizedIntensity,3-4_SmoothedNormalizedIntensity,3-5_SmoothedNormalizedIntensity,4-1_SmoothedNormalizedIntensity,4-2_SmoothedNormalizedIntensity,4-3_SmoothedNormalizedIntensity,4-4_SmoothedNormalizedIntensity,4-5_SmoothedNormalizedIntensity,5-1_SmoothedNormalizedIntensity,5-2_SmoothedNormalizedIntensity,5-3_SmoothedNormalizedIntensity,5-4_SmoothedNormalizedIntensity,5-5_SmoothedNormalizedIntensity,6-1_SmoothedNormalizedIntensity,6-2_SmoothedNormalizedIntensity,6-3_SmoothedNormalizedIntensity,6-4_SmoothedNormalizedIntensity,6-5_SmoothedNormalizedIntensity,7-1_SmoothedNormalizedIntensity,7-2_SmoothedNormalizedIntensity,7-3_SmoothedNormalizedIntensity,7-4_SmoothedNormalizedIntensity,7-5_SmoothedNormalizedIntensity,8-1_SmoothedNormalizedIntensity,8-2_SmoothedNormalizedIntensity,8-3_SmoothedNormalizedIntensity,8-4_SmoothedNormalizedIntensity,8-5_SmoothedNormalizedIntensity,9-1_SmoothedNormalizedIntensity,9-2_SmoothedNormalizedIntensity,9-3_SmoothedNormalizedIntensity,9-4_SmoothedNormalizedIntensity,9-5_SmoothedNormalizedIntensity,10-1_SmoothedNormalizedIntensity,10-2_SmoothedNormalizedIntensity,10-3_SmoothedNormalizedIntensity,10-4_SmoothedNormalizedIntensity,10-5_SmoothedNormalizedIntensity,11-1_SmoothedNormalizedIntensity,11-2_SmoothedNormalizedIntensity,11-3_SmoothedNormalizedIntensity,11-4_SmoothedNormalizedIntensity,11-5_SmoothedNormalizedIntensity,12-1_SmoothedNormalizedIntensity,12-2_SmoothedNormalizedIntensity,12-3_SmoothedNormalizedIntensity,12-4_SmoothedNormalizedIntensity,12-5_SmoothedNormalizedIntensity
31,0.7503450720995014,0.7528069245668482,0.749970266383096,0.7553878169266784,0.7518896733738298,0.7278692773570689,0.7332943174119138,0.7307671342580985,0.7283771393651292,0.7277227003087039,0.902040757365326,0.9030326096039968,0.9064523974275941,0.904838843583167,0.9015555418591445,0.7179954316728935,0.7168440915774884,0.7167181897149018,0.7227521646205024,0.7196744048037147,0.7152085089307282,0.7176746921158189,0.7188995898918099,0.7230799773838613,0.720948559684533,0.6990187139747013,0.7029270041776141,0.7013862708243259,0.700706577092033,0.6987785304003608,0.7275855913885914,0.7275295667318458,0.7251381958248705,0.722044947070687,0.7239491915323507,0.8857533961073591,0.8826468428563932,0.8796230651236302,0.8775630054039908,0.8790580621643709,0.820399465646668,0.8187122505599361,0.8148052820582058,0.8178703043986264,0.8140199334300369,0.7974301050060315,0.7942790019267052,0.7948632996264863,0.790113347531116,0.7934068453247229,0.7171585729225419,0.7221396148399095,0.7166026529777808,0.7203735064715635,0.7136717340799956,0.8706436524206617,0.8658104736472694,0.8688693547069306,0.8684068810507729,0.8680252015416786
32,0.7503558877936887,0.7526797840254071,0.7499073266878705,0.755345591375506,0.7519167647333027,0.7278683286778794,0.7331993709785616,0.7306792990620151,0.7283154412952874,0.72766877740746,0.9020235516800238,0.9029803094982123,0.9063383065578702,0.904803608991233,0.9015105717444172,0.7179201961452818,0.716840822087036,0.7166519626619942,0.7226860818880811,0.7195770795436497,0.7151732067489912,0.717661383303615,0.7188088214636504,0.7229348872996489,0.7209861274773355,0.698941225128185,0.7029664112342586,0.7013710621077466,0.7006121713402766,0.6987968559868032,0.7274835494763814,0.727451605177611,0.7250153463269766,0.722049406395465,0.7238543020759959,0.8856104092443684,0.8826384857829696,0.8796483428107353,0.8775804251462722,0.8790878195229211,0.8201368206858292,0.8187186897673573,0.8148544448355609,0.8178341356030514,0.8140421655404708,0.7973244371759193,0.7942775115483388,0.7948846255394326,0.7900991235974042,0.793319256713086,0.717044267227288,0.7221029681305735,0.7166317948653552,0.7203041115047224,0.7137798397904279,0.870614037125962,0.8658055824363731,0.8688871187529984,0.8684173793047372,0.8680980346769095
33,0.7503643212211336,0.7525812645970097,0.749842963603156,0.755300688160469,0.7519404374804858,0.7278649203765514,0.7331045831451841,0.7306003221408265,0.728251548341689,0.7276132016314107,0.9020035767942454,0.9029251639938994,0.906222270048615,0.9047641005488725,0.9014899681821616,0.7178492015059894,0.7168346801191786,0.7165849639824596,0.7226187841064794,0.7194791209220273,0.71514262175479,0.7176138048405463,0.718715305438677,0.7227889304912763,0.7210197659892096,0.6988465969850258,0.7030014706087253,0.7013528998793436,0.7005180846409992,0.6987799965978483,0.7273797625511819,0.7273701286496439,0.7248919010076631,0.7220526703410355,0.7237640479267649,0.885467290807761,0.8826300239765951,0.8796716969961239,0.8775953315404934,0.8791158013683382,0.8199287511971892,0.8187238742087175,0.8149013095376618,0.8178192610039959,0.8140610790668346,0.7972232948619136,0.7942975971379866,0.7949019377155907,0.7900834760967715,0.7932302295476247,0.716950710032855,0.7220740621629765,0.7166575942994314,0.7202318742855134,0.7138842849535783,0.8706228458439678,0.8658013371488229,0.868908313104822,0.8684277552625163,0.8681697288528892
34,0.7503480105671139,0.7524534395712683,0.7497772430970926,0.755253187812812,0.7519551314177376,0.7278591020513314,0.7330100119906455,0.730509637182617,0.7281855460485214,0.7275560450404931,0.9019809047913,0.9028672691382652,0.9061043833913398,0.904674240824868,0.9014657683444461,0.7177714348668423,0.7168257292351181,0.7165172522808526,0.7225503534062581,0.7193806068910397,0.7151062449638994,0.7175645448914738,0.7186191708986196,0.7226422219088975,0.7210495350686059,0.6987515475149467,0.703032242717763,0.7013318589115684,0.7004243732975792,0.6987923886957418,0.7272743287261727,0.7272852685488319,0.7247576435156484,0.7220547389073984,0.7236677727248533,0.8853241325930836,0.8826214574372694,0.8796931582601092,0.8776077675498695,0.8791153967445968,0.819718801066917,0.8187335926081121,0.8149694469345105,0.8178006503004803,0.8140767327451293,0.7971207965690046,0.7942929899601752,0.7949152974333844,0.7901058271179089,0.793139845160004,0.7168359993002065,0.7220422798442703,0.716680110843951,0.7201569048366091,0.7139850695694465,0.8705904967008401,0.8657977238187089,0.8689249959307733,0.8684380089241097,0.8682364157878292
35,0.7503309125967935,0.7523544239553672,0.7497102311378209,0.7552031708637785,0.7519668664520794,0.7278459517525837,0.7329157155938097,0.730418009854738,0.7281175199599718,0.7274874480338249,0.9019026217164036,0.9028067209785178,0.9059847420775551,0.9045834061006965,0.901411807541068,0.7176980598642517,0.7168140329960571,0.7164488861617265,0.7224808719179782,0.7192816154028783,0.7150746454462179,0.717513672464031,0.7185205469252074,0.722494876502666,0.7210754945639741,0.6986561567465249,0.7030331666292723,0.7013080139768725,0.7003310936133957,0.6987697181582075,0.7271673461145336,0.727197156276062,0.7246339692139854,0.7220556120945539,0.7235710905042978,0.8851810263958825,0.8826127861649924,0.8796857829001093,0.8776177761376146,0.8791150645907794,0.8195071626333608,0.8187416651114393,0.8150336936365105,0.8177548827543593,0.8140891853113564,0.7969946453317431,0.7942876315017157,0.7949247659712383,0.7900847940442112,0.7930481848818887,0.7167218938223012,0.7220076937637573,0.7166994040628554,0.7200793131806816,0.7140821936380328,0.8705581370831976,0.8657947284801211,0.8689412661171626,0.868448140289518,0.8683060079396244
36,0.7503130476280122,0.7522262910389181,0.7496419936934808,0.7551507178446129,0.751975678141142,0.727830826541835,0.7328217520335407,0.7303255307696577,0.7280475556202279,0.7274180853903258,0.9018783518667626,0.9027436155618649,0.9058634415987715,0.9044916442291265,0.9013562153147162,0.7176234253844515,0.7167996549631972,0.7163799242296355,0.7224104217722008,0.7191822244097346,0.715042410406994,0.7174612565658515,0.7184093964919598,0.7223470092227361,0.721072323977243,0.6985553141489875,0.7030265310112995,0.7012814398477065,0.700238301891827,0.6987349162010241,0.7270589128294453,0.7271059232322213,0.7245151086820848,0.722055289902502,0.7234740718463659,0.8850380640117043,0.8826040101597645,0.8796783983660152,0.8776254002669436,0.8791148049068856,0.8192704646500485,0.8187480969687665,0.8150705002511037,0.8177071378976036,0.814098495501517,0.7968688546731411,0.7942815420674906,0.7949304046075765,0.7900624955776948,0.7929553300449439,0.7166084626396045,0.7219703765107403,0.7166902738269595,0.719958772340911,0.7141553751521359,0.8705142317567667,0.8657923371671487,0.8689609596449271,0.8684581493587412,0.8683705336384314
37,0.7502944359786105,0.7520990996064509,0.7495725967322132,0.7550959092865588,0.7519872028774914,0.7278137715084002,0.732772513219399,0.7302422814705917,0.7279757385734772,0.7273579518232605,0.9018515530943437,0.9026780489355138,0.9057405774464999,0.9043990030629276,0.9012990631145723,0.7175422474585759,0.7167826586977409,0.7163104250891336,0.7223390850994865,0.7190825118638005,0.7150095722000515,0.7174073662045687,0.71829670168802,0.7222240838271926,0.721046874114445,0.6984546410237311,0.7030075950080563,0.7012316002703417,0.7001460544362521,0.6986991072917795,0.7269491269840878,0.7270117008181972,0.7243956499922096,0.7220537723312425,0.7233767873323257,0.8848953372360955,0.8825951294215854,0.8796710107738899,0.87758331166054,0.8791146176929158,0.8190340551742592,0.8187471047060656,0.8151050515453315,0.8176574796863528,0.8141047220516124,0.7967659043872647,0.7942747419623825,0.7949097527572969,0.7900333466418306,0.7928613619808349,0.7164957747925812,0.7219304006745212,0.7166797461293541,0.7198385615691574,0.714226266524849,0.870471124239232,0.8657905359138821,0.868979974145565,0.8684680361317789,0.8684340649248026
38,0.7502975004168311,0.7519729310836071,0.7495021062221581,0.7550332761115057,0.7519954969490319,0.7277948317415943,0.7326960979645083,0.730122718318756,0.7279021543639068,0.7272865760052711,0.9018156742276956,0.9026101171466728,0.9056162451122508,0.904305530454868,0.9012404223898174,0.7174496043998139,0.7167631077608905,0.7162404473447745,0.7222669440303965,0.7189825557172674,0.7149761631792145,0.7173520703878162,0.7181825823749938,0.7220738048930344,0.7210411622704528,0.6983542126917688,0.7029617108112179,0.7011805736803136,0.7000544075500492,0.6986623290735408,0.7268380866916412,0.7269146204348768,0.7242705340363654,0.7220510593807753,0.7232793075434447,0.8847529378646026,0.8825861439504552,0.8796636262397958,0.8775421252816454,0.8791411380615358,0.8187981051734142,0.8187448734275056,0.8151373475191936,0.8176294780897435,0.8140549363490318,0.7966395652428145,0.7942448633279638,0.7948869153098855,0.7900033940794786,0.7927663620212261,0.7163838993216964,0.7218878388444029,0.7166678576247727,0.719718754213869,0.7142745673542608,0.870440367222392,0.8657893107544105,0.8690175069347099,0.8684778006086313,0.8684965704512368
39,0.7502983451310298,0.7518478668960282,0.7494305881314557,0.7549688234336579,0.7520006009930569,0.7277392514955554,0.7326188986449537,0.7300392402232075,0.7278219242714377,0.7272146327152776,0.901777858122102,0.9025399162425494,0.9054905400875352,0.904211274257717,0.9012066245454097,0.717357017263785,0.7167410657138478,0.7161700496011124,0.7221940806954912,0.7188824339223272,0.7149422156983071,0.7172954381232274,0.7180671584144873,0.7219233719256702,0.7210132263951168,0.6982541044741143,0.7029162541790618,0.7011284161569606,0.6999634175365975,0.698624619189376,0.7267258900652857,0.7267941159662598,0.7241350498531918,0.7220471510511007,0.72312463293006,0.8846109576927724,0.8825770537463739,0.8796562508797958,0.8775018411302593,0.879139296117639,0.8185627856149349,0.8187414031330862,0.81516738817269,0.8176157323165434,0.814005764704646,0.7965138507628026,0.794215827346164,0.7948619331176254,0.7899726736073718,0.792670411497783,0.7162729052674153,0.7218427636096878,0.7166344372134467,0.7195994236234935,0.7143219116587547,0.8704096346460871,0.8657886477228243,0.8690530635808069,0.8684874427892986,0.8685618592875725
40,0.7502746083064835,0.7517127659802939,0.749324537749088,0.7549026267510559,0.7520025556468596,0.7276842281025583,0.7325409912100188,0.7299545841655721,0.7277404335277853,0.7271421850057254,0.9017381708539308,0.9024675422703511,0.9053635578638636,0.9041162823242432,0.901169706753418,0.7172645492674924,0.7167165961178151,0.7160777513356477,0.7221205772253321,0.7187822244311715,0.7149077621111533,0.7172375384184364,0.7179505496681066,0.7217728998752536,0.7210050837833097,0.6981751539291781,0.7028712251115883,0.7010751837796215,0.6999610875151111,0.6985860152823531,0.7266126352182012,0.7266413685356603,0.7240002876653858,0.7220420473422188,0.7230308304252283,0.8844694885161511,0.8825678588093414,0.8796488908099527,0.8774624592063819,0.8791375508003069,0.8183518310510631,0.8187366938228076,0.8152364223533237,0.817597506948766,0.813957217797728,0.7964392389124236,0.7941876340169829,0.7948348470327994,0.7899412209422428,0.7925735917421705,0.7161628616702027,0.721795247559678,0.716601094693429,0.71948064314648,0.714368262648911,0.8703789404763371,0.8658039316657884,0.8690674641791749,0.8685162260700542,0.8686258001813081
