Pixel,RawADC,RawVoltageV,DarkADC,DarkVoltageV,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
111,1712.0,1.379634,3933.0,3.169451,2221.0,2214.1099604426995,0.889823717948718,0.8625136344971754
112,1709.0,1.377216,3933.0,3.169451,2224.0,2213.9985838150674,0.8910256410256411,0.8624702473747591
113,1712.0,1.379634,3933.0,3.169451,2221.0,2213.890104919709,0.889823717948718,0.8624279890732414
114,1705.0,1.373993,3933.0,3.169451,2228.0,2213.784532471609,0.8926282051282052,0.8623868629875725
115,1725.0,1.39011,3933.0,3.169451,2208.0,2213.6818751857513,0.8846153846153846,0.8623468725127024
116,1713.0,1.38044,3933.0,3.169451,2220.0,2213.6129431460704,0.8894230769230769,0.8623200198156183
117,1717.0,1.383663,3933.0,3.169451,2216.0,2213.548943787493,0.8878205128205128,0.8622950886602746
118,1713.0,1.38044,3933.0,3.169451,2220.0,2213.489911969957,0.8894230769230769,0.8622720926264716
119,1717.0,1.383663,3933.0,3.169451,2216.0,2213.435882553399,0.8878205128205128,0.8622510452940094
120,1713.0,1.38044,3933.0,3.169451,2220.0,2213.3868903977564,0.8894230769230769,0.8622319602426884
121,1721.0,1.386886,3933.0,3.169451,2212.0,2213.3429703629663,0.8862179487179487,0.8622148510523091
122,1728.0,1.392527,3933.0,3.169451,2205.0,2213.3041573089654,0.8834134615384616,0.8621997313026715
123,1729.0,1.393333,3933.0,3.169451,2204.0,2213.2704860956915,0.8830128205128205,0.8621866145735759
124,1717.0,1.383663,3933.0,3.169451,2216.0,2213.211190214132,0.8878205128205128,0.8621635156727858
125,1724.0,1.389304,3933.0,3.169451,2209.0,2213.1448386812967,0.8850160256410257,0.8621376682204178
126,1721.0,1.386886,3933.0,3.169451,2212.0,2213.0810406388564,0.8862179487179487,0.8621128154884207
127,1716.0,1.382857,3933.0,3.169451,2217.0,2213.019796086811,0.8882211538461539,0.8620889574767945
128,1717.0,1.383663,3933.0,3.169451,2216.0,2212.96110502516,0.8878205128205128,0.8620660941855391
129,1716.0,1.382857,3933.0,3.169451,2217.0,2212.9049674539046,0.8882211538461539,0.8620442256146549
130,1716.0,1.382857,3933.0,3.169451,2217.0,2212.8103148811106,0.8882211538461539,0.8620073534014253
131,1717.0,1.383663,3933.0,3.169451,2216.0,2212.756617505454,0.8878205128205128,0.8619864354165611
132,1729.0,1.393333,3933.0,3.169451,2204.0,2212.7054387602543,0.8830128205128205,0.861966498572267
133,1729.0,1.393333,3933.0,3.169451,2204.0,2212.656778645513,0.8830128205128205,0.8619475428685439
134,1717.0,1.383663,3933.0,3.169451,2216.0,2212.610637161229,0.8878205128205128,0.8619295683053912
135,1721.0,1.386886,3933.0,3.169451,2212.0,2212.567014307403,0.8862179487179487,0.8619125748828094
136,1713.0,1.38044,3933.0,3.169451,2220.0,2212.5259100840344,0.8894230769230769,0.8618965626007979
137,1721.0,1.386886,3933.0,3.169451,2212.0,2212.4975916141066,0.8862179487179487,0.8618855310500362
138,1724.0,1.389304,3933.0,3.169451,2209.0,2212.4724584709343,0.8850160256410257,0.8618757403535255
139,1725.0,1.39011,3933.0,3.169451,2208.0,2212.4505193695018,0.8846153846153846,0.8618671939062161
140,1732.0,1.395751,3933.0,3.169451,2201.0,2212.4317830247924,0.8818108974358975,0.8618598951030576
141,1725.0,1.39011,3933.0,3.169451,2208.0,2212.4162581517917,0.8846153846153846,0.8618538473390006
142,1724.0,1.389304,3933.0,3.169451,2209.0,2212.403953465483,0.8850160256410257,0.8618490540089949
143,1729.0,1.393333,3933.0,3.169451,2204.0,2212.394877680851,0.8830128205128205,0.8618455185079906
