Pixel,RawADC,RawVoltageV,DarkADC,DarkVoltageV,DarkCorrectedIntensityADC,SmoothedIntensityADC,NormalizedIntensity,SmoothedNormalizedIntensity
1785,2763.0,2.226593,3936.0,3.171868,1173.0,1166.881660099933,0.68,0.6843560585082855
1786,2762.0,2.225788,3936.0,3.171868,1174.0,1167.1880632603347,0.6805797101449276,0.684535758700976
1787,2763.0,2.226593,3936.0,3.171868,1173.0,1167.4933857626854,0.68,0.6847148251062743
1788,2767.0,2.229817,3936.0,3.171868,1169.0,1167.8644732794291,0.6776811594202898,0.6849324615633412
1789,2762.0,2.225788,3936.0,3.171868,1174.0,1168.2290986353273,0.6805797101449276,0.6851463080740261
1790,2763.0,2.226593,3936.0,3.171868,1173.0,1168.5676862326845,0.68,0.6853448838863903
1791,2763.0,2.226593,3936.0,3.171868,1173.0,1168.9106626961263,0.68,0.685546033693357
1792,2755.0,2.220147,3936.0,3.171868,1181.0,1169.2672711379835,0.6846376811594203,0.6857551784216058
1793,2776.0,2.23707,3936.0,3.171868,1160.0,1169.616628712917,0.672463768115942,0.6859600706408999
1794,2763.0,2.226593,3936.0,3.171868,1173.0,1169.9583868215561,0.68,0.6861605059036939
1795,2762.0,2.225788,3936.0,3.171868,1174.0,1170.2921968645296,0.6805797101449276,0.6863562797624417
1796,2762.0,2.225788,3936.0,3.171868,1174.0,1170.5882248361436,0.6805797101449276,0.6865298950850482
1797,2763.0,2.226593,3936.0,3.171868,1173.0,1170.8384607943428,0.68,0.6866766541780275
1798,2784.0,2.243516,3936.0,3.171868,1152.0,1171.084221608113,0.6678260869565218,0.6868207886756363
1799,2771.0,2.23304,3936.0,3.171868,1165.0,1171.3154885315232,0.6753623188405797,0.6869564227554065
1800,2767.0,2.229817,3936.0,3.171868,1169.0,1171.5421103683104,0.6776811594202898,0.6870893325716276
1801,2784.0,2.243516,3936.0,3.171868,1152.0,1171.8355386601127,0.6678260869565218,0.6872614232266606
1802,2763.0,2.226593,3936.0,3.171868,1173.0,1172.0562822400018,0.68,0.6873908855461395
1803,2767.0,2.229817,3936.0,3.171868,1169.0,1172.2711867804212,0.6776811594202898,0.6875169233692247
1804,2767.0,2.229817,3936.0,3.171868,1169.0,1172.551703823009,0.6776811594202898,0.6876814417982771
1805,2767.0,2.229817,3936.0,3.171868,1169.0,1172.8302120617193,0.6776811594202898,0.6878447820983462
1806,2767.0,2.229817,3936.0,3.171868,1169.0,1173.1063541821968,0.6776811594202898,0.6880067347106976
1807,2762.0,2.225788,3936.0,3.171868,1174.0,1173.437427720106,0.6805797101449276,0.6882009036562104
1808,2760.0,2.224176,3936.0,3.171868,1176.0,1173.7615249130968,0.6817391304347826,0.6883909810952112
1809,2762.0,2.225788,3936.0,3.171868,1174.0,1174.0206858866998,0.6805797101449276,0.6885429745564838
1810,2763.0,2.226593,3936.0,3.171868,1173.0,1174.2761560644592,0.68,0.6886928034293645
1811,2762.0,2.225788,3936.0,3.171868,1174.0,1174.5378452550028,0.6805797101449276,0.6888462796464637
1812,2762.0,2.225788,3936.0,3.171868,1174.0,1174.8534505673088,0.6805797101449276,0.6890313767432469
1813,2762.0,2.225788,3936.0,3.171868,1174.0,1175.1802912373516,0.6805797101449276,0.6892230631844337
1814,2763.0,2.226593,3936.0,3.171868,1173.0,1175.4975541396682,0.68,0.6894091324292976
1815,2762.0,2.225788,3936.0,3.171868,1174.0,1175.8049603947609,0.6805797101449276,0.6895894209198014
1816,2767.0,2.229817,3936.0,3.171868,1169.0,1176.102231123133,0.6776811594202898,0.6897637650979087
1817,2763.0,2.226593,3936.0,3.171868,1173.0,1176.3890874452875,0.68,0.6899320014055829
1818,2784.0,2.243516,3936.0,3.171868,1152.0,1176.6652504817278,0.6678260869565218,0.6900939662847873
1819,2776.0,2.23707,3936.0,3.171868,1160.0,1176.930441352956,0.672463768115942,0.6902494961774849
1820,2763.0,2.226593,3936.0,3.171868,1173.0,1177.1843811794754,0.68,0.6903984275256391
1821,2784.0,2.243516,3936.0,3.171868,1152.0,1177.4473253277556,0.6678260869565218,0.6905526397539035
1822,2755.0,2.220147,3936.0,3.171868,1181.0,1177.6997940649283,0.6846376811594203,0.6907007083334141
1823,2755.0,2.220147,3936.0,3.171868,1181.0,1177.9415259414648,0.6846376811594203,0.6908424799285116
1824,2763.0,2.226593,3936.0,3.171868,1173.0,1178.1569891123768,0.68,0.690968845378789
1825,2755.0,2.220147,3936.0,3.171868,1181.0,1178.3909210779805,0.6846376811594203,0.6911060424600474
1826,2763.0,2.226593,3936.0,3.171868,1173.0,1178.6751777203237,0.68,0.6912727541001482
1827,2754.0,2.219341,3936.0,3.171868,1182.0,1178.9197689832033,0.6852173913043478,0.6914162026762407
1828,2763.0,2.226593,3936.0,3.171868,1173.0,1179.213556332358,0.68,0.691588503912246
1829,2763.0,2.226593,3936.0,3.171868,1173.0,1179.5563306081644,0.68,0.6917895351396361
1830,2763.0,2.226593,3936.0,3.171868,1173.0,1179.848544902656,0.68,0.6919609138060905
1831,2755.0,2.220147,3936.0,3.171868,1181.0,1180.1380357645592,0.6846376811594203,0.6921306952260927
1832,2754.0,2.219341,3936.0,3.171868,1182.0,1180.4007698817184,0.6852173913043478,0.6922847842747109
1833,2747.0,2.2137,3936.0,3.171868,1189.0,1180.613354493322,0.6892753623188406,0.6924094614993782
1834,2762.0,2.225788,3936.0,3.171868,1174.0,1180.8126487538948,0.6805797101449276,0.6925263441613589
1835,2754.0,2.219341,3936.0,3.171868,1182.0,1180.9983912139085,0.6852173913043478,0.6926352789249935
1836,2762.0,2.225788,3936.0,3.171868,1174.0,1181.170320423834,0.6805797101449276,0.6927361124546224
1837,2754.0,2.219341,3936.0,3.171868,1182.0,1181.3281749341436,0.6852173913043478,0.6928286914145866
1838,2763.0,2.226593,3936.0,3.171868,1173.0,1181.4716932953081,0.68,0.692912862469226
1839,2763.0,2.226593,3936.0,3.171868,1173.0,1181.6006140577995,0.68,0.6929884722828819
1840,2746.0,2.212894,3936.0,3.171868,1190.0,1181.714675772089,0.6898550724637681,0.6930553675198943
