Pixel,MeanIntensityADC,StdIntensityADC,CVIntensity,MeanSmoothedIntensityADC,MeanSmoothedNormalizedIntensity,StdSmoothedNormalizedIntensity,MeanReferenceCorrectedRatio,StdReferenceCorrectedRatio,MeanReferenceCorrectedRatioNormalizedMax
2583,1032.2,6.685805860178712,0.006477238771729036,1033.9926534425554,0.613241364556723,0.0013818452485127126,0.636403274407603,0.0029173894846016724,0.9188747134243285
2584,1025.6,6.107372593840988,0.005954926476054005,1034.280774657529,0.6134122029038183,0.0013771919710069184,0.6364894638693739,0.002926810759705918,0.9189990985214026
2585,1031.4,11.802542099056458,0.011443224839108451,1034.5711558422265,0.6135843962092322,0.0013920245236355273,0.6365697706027263,0.002941925828564075,0.9191150147261151
2586,1037.0,6.041522986797286,0.005825962378782339,1034.8551526037384,0.6137528504991592,0.001404337148731692,0.636674965321198,0.002942548590372956,0.9192669356484793
2587,1037.0,9.027735042633894,0.008705626849213013,1035.1465088208774,0.613925674219611,0.0014205991342492491,0.6367795571894364,0.0029439415604771034,0.919417993826302
2588,1037.8,6.300793600809346,0.0060712985168715995,1035.461887369292,0.6141127005281408,0.0014387401558459145,0.6368939772925858,0.002958952004950064,0.9195831763637278
2589,1038.8,11.256109452204168,0.010835684878902742,1035.79039974762,0.6143075085049381,0.0014565251751330354,0.6369838103007057,0.002975842374670482,0.9197128476390007
2590,1032.6,7.63544366752843,0.0073943866623362685,1036.1256625784733,0.6145063227404958,0.0014745136206755014,0.63707189570953,0.0029920968516586456,0.9198399994174971
2591,1034.0,10.908712114635714,0.010550011716282122,1036.4241180218091,0.6146832170030191,0.0014715859908581987,0.6371353793759605,0.0030219739621548647,0.9199314959365446
2592,1030.0,9.460443964212251,0.009184897052633253,1036.7161709147917,0.6148563583573625,0.0014709853662939116,0.637213231552044,0.003040777302177302,0.920043804270916
2593,1039.2,9.47100839404126,0.009113749416898825,1037.0100192688365,0.6150305639742514,0.0014735732543379944,0.6373144382424475,0.003061375929559928,0.9201898330227213
2594,1032.6,8.961026726887942,0.00867812001441792,1037.301665172053,0.6152034797358238,0.0014711158785608582,0.6374086016090934,0.003074859945743823,0.9203257139916193
2595,1038.6,9.73652915571047,0.00937466700915701,1037.602738073768,0.6153819837961365,0.0014689583064979386,0.6375111183086782,0.003089188605398091,0.9204736522292892
2596,1036.8,5.674504383644443,0.005473094505829903,1037.906781390726,0.6155622362675913,0.0014712312310428469,0.6376107070568303,0.0031092119995101194,0.9206173439412668
2597,1038.8,6.797058187186572,0.0065431826984853406,1038.2154154128043,0.6157452216040354,0.0014731314176698906,0.6377085771416169,0.0031262013152818587,0.9207585693708579
2598,1035.4,11.781341180018513,0.011378540834477991,1038.514882317216,0.6159227571508537,0.0014890561997111618,0.6378002569268467,0.0031535504295778127,0.9208908386639797
2599,1037.2,6.496152707564686,0.0062631630423878575,1038.8251324459798,0.6161066830069015,0.0015043478404492873,0.6378941963270894,0.0031817246524670686,0.921026363570746
2600,1038.8,6.797058187186572,0.0065431826984853406,1039.1436618098119,0.6162955140898783,0.0015232768751001044,0.6379890735337111,0.003212854583582766,0.921163235395
2601,1042.0,5.656854249492381,0.005428842849800749,1039.489369723628,0.6165004805462606,0.0015259201084411409,0.6381042340722394,0.0032314613539285307,0.9213294164668506
2602,1036.6,7.893034904268446,0.007614349705063136,1039.8452640596722,0.6167114899334076,0.0015244276797054207,0.6382133793690608,0.0032474508978680068,0.921486914407582
2603,1037.4,12.421755109484328,0.011973930122888304,1040.2069399162901,0.616925924754528,0.001523592650028938,0.6383215494941141,0.003264560384015209,0.921642999447228
2604,1045.4,11.326958991715296,0.010835047820657447,1040.5606464426803,0.6171356249553062,0.0015132565030739707,0.6384205245319876,0.00327892882563465,0.9217857973595951
2605,1040.4,8.988882021697693,0.008639832777487208,1040.9290558447537,0.6173540361202164,0.0015009993541507077,0.6385244335931352,0.003294626688848807,0.9219357056564595
2606,1039.6,4.722287581247038,0.004542408215897497,1041.3172876528777,0.6175842259106945,0.0014743069583200723,0.6386366301219913,0.0032978400739048213,0.9220976116015471
2607,1038.8,6.797058187186572,0.0065431826984853406,1041.6972222730658,0.6178094763823074,0.0014695854095923863,0.6387400834940044,0.003316184958110527,0.922246868902775
2608,1040.2,5.718391382198319,0.005497396060563659,1042.0826637175219,0.6180379798115687,0.0014961025886944999,0.6388924051203404,0.003352630118264352,0.9224666667707808
2609,1044.8,12.17374223482656,0.011651744099183155,1042.4595080042834,0.618261385036175,0.0015110921967534155,0.6390329351380636,0.003383230094713196,0.9226694401822005
2610,1044.4,2.8809720581775866,0.0027584948852715304,1042.8464381423546,0.6184907777545827,0.0015263777824441424,0.6391733882117627,0.003412356542723724,0.9228721107973351
2611,1040.8,5.495452665613635,0.005280027541903954,1043.2169617996155,0.6187104628535918,0.001553592168679839,0.6392977883153664,0.0034414481018060217,0.9230516380583218
2612,1043.6,8.44393273303382,0.008091158234030109,1043.572442871105,0.618921324617735,0.001563024289645529,0.6394072382774236,0.003438298157970039,0.9232097212199571
2613,1042.4,9.96493853468249,0.009559611027132089,1043.9170655950782,0.6191257171649969,0.0015672375854491778,0.6395045689351815,0.003439642413538155,0.9233502603180529
2614,1046.0,5.744562646538029,0.005491933696499071,1044.2835575263102,0.6193431066381507,0.0015510324059989876,0.6396100923589391,0.0034247010023566336,0.9235026646647718
2615,1038.4,4.774934554525329,0.004598357621846426,1044.6487364580098,0.6195597118524738,0.0015260200237762235,0.6397098682533442,0.0034069228663901924,0.9236467635018538
2616,1044.2,8.438009243891594,0.008080836280302236,1045.0168382211382,0.6197780199764882,0.0014989082646925795,0.6397826238563817,0.0033955594710941036,0.9237518032987975
2617,1045.4,10.16366075781753,0.009722269712853959,1045.3995123094855,0.6200049735410361,0.001471656834378083,0.6398301743567814,0.0033834828809029935,0.923820454866153
2618,1046.0,5.612486080160912,0.005365665468605079,1045.7922440125942,0.62023788458727,0.001443841099378585,0.6399064222685085,0.0033733261020708655,0.9239305300030496
2619,1045.6,3.286335345030997,0.003143013910702943,1046.1888564982034,0.6204730856307847,0.0014259081269136524,0.639979425309045,0.0033706492271770605,0.9240359038767567
2620,1048.8,5.761944116355173,0.0054938445045339184,1046.5912463211935,0.6207117436636839,0.0014051657135096028,0.6400465742137871,0.003359266078978444,0.9241328700439462
2621,1049.0,5.70087712549569,0.005434582579118865,1047.0422399601262,0.6209791993732421,0.0013910307040612775,0.6401343029130372,0.0033580001020977355,0.9242595097438157
2622,1048.6,9.343446901438464,0.008910401393704429,1047.445691268202,0.6212185659623402,0.0013842034011275393,0.6401915949680775,0.0033333123572906924,0.9243423616250622
2623,1042.0,8.0,0.007677543186180422,1047.8915772291466,0.621483013085998,0.0013829451695561183,0.6402656764698018,0.0033325843069227,0.9244493278324727
2624,1046.8,9.628083921528727,0.00919763462125404,1048.3090450207433,0.6217306580533606,0.001370035306342688,0.6403059906557479,0.0033135824092754658,0.9245076137439625
2625,1050.2,9.257429448826494,0.008814920442607593,1048.756201800696,0.6219959460250976,0.0013583757696970242,0.6403839120199706,0.003286485398041852,0.9246202517146005
